Quarter,Unadjusted_GVA,Adjusted_GVA
2010Q1,49752.12585592808,37775.17841418376
2010Q2,49109.8187152887,37709.57770093263
2010Q3,48648.50760516769,36840.83243174442
2010Q4,48922.57468588275,37062.671609874604
2011Q1,50087.1633348332,37649.93250626728
2011Q2,51425.82261480448,38350.37966837129
2011Q3,49929.810805341964,37703.61189801699
2011Q4,49940.74858489972,37794.83882354425
2012Q1,49949.245474079384,37253.328064412555
2012Q2,49366.7565579799,37022.554547683256
2012Q3,48262.95989134486,36523.275520138464
2012Q4,47750.9992386753,37055.100875523414
2013Q1,49001.30181896356,37239.188333791164
2013Q2,50242.38859008836,38495.245870149825
2013Q3,50458.59857704549,38287.53978655682
2013Q4,50175.05753064388,39098.530033344294
2014Q1,52984.50394822774,40510.59787448792
2014Q2,55621.913362494706,41175.15638963361
2014Q3,54107.83248155771,41433.29556228754
2014Q4,54583.34292223782,41735.89855706165
2015Q1,68363.12000088749,40900.36720249387
2015Q2,64929.31655420789,38631.659560375876
2015Q3,65672.63797179425,38883.79391864352
2015Q4,67331.60255374172,38945.57135930176
2016Q1,66757.00894485082,41618.22432913619
2016Q2,65769.08970879483,41083.086208883906
2016Q3,63570.828415387994,39501.27033028587
2016Q4,72959.44883609208,42953.225313359835
2017Q1,69742.24257031352,42419.04742696368
2017Q2,69763.73970912474,42779.699415417606
2017Q3,73705.31519385545,43849.327940515584
2017Q4,76601.94466720129,43455.29270248596
2018Q1,76222.63379870554,44117.08456219111
2018Q2,78998.25686296496,45835.32961600016
2018Q3,80381.4142144313,45794.80537734808
2018Q4,80962.61450854172,46066.84822975984
2019Q1,79410.31845524425,45593.42293227602
2019Q2,82785.49255067584,45610.68888002258
2019Q3,85266.25056785636,47200.22121708902
2019Q4,85838.60744343695,47034.21070269338
2020Q1,90550.44500034883,48548.391919232185
2020Q2,83159.778878769,40767.99082287557
2020Q3,93363.40167046316,46726.39838015692
2020Q4,91235.17222739421,47531.95791665415
2021Q1,100300.50296671774,47801.48532358835
2021Q2,101851.59288985177,49370.229947314
2021Q3,109762.4895962323,53035.87016097926
2021Q4,107320.86890738137,53750.62633249167
2022Q1,109321.26072601191,51656.84119524331
2022Q2,111143.80919611003,52858.61750484435
2022Q3,120076.96340961014,56084.04179618741
2022Q4,119431.26159554732,57669.75881261595
2023Q1,110710.13311118595,57057.9060245662
2023Q2,113159.64463829255,58606.08118978246
2023Q3,115059.23092634197,61200.02970830161
2023Q4,109348.25839309656,60010.977837366045
2024Q1,110756.26411905707,59172.42925382401
2024Q2,111693.35627877011,58916.08243402481
2024Q3,122353.46254375095,64329.96590364388
2024Q4,120692.08068180831,62006.0763813321
2025Q1,132820.416907539,61218.41738361614
2025Q2,120592.7989712816,62078.868409772826
2025Q3,128639.2716993063,67561.23416838699
2025Q4,121641.65086874098,64208.5674035167
2026Q1,116234.88582294456,63175.128331940585
2026Q2,124667.9717164217,63144.438631722835
