DATAFLOW,LAST UPDATE,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2024-Q1,5101.80,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2024-Q2,5099.00,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2024-Q3,5103.00,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2024-Q4,5111.30,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2025-Q1,5116.70,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2025-Q2,5122.60,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2025-Q3,5124.50,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2025-Q4,5126.30,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2026-Q1,5128.90,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Belgium,2026-Q2,5135.40,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2024-Q1,514.90,,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2024-Q2,515.56,,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2024-Q3,516.07,,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2024-Q4,517.54,,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2025-Q1,519.23,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2025-Q2,520.77,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2025-Q3,523.27,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2025-Q4,525.44,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2026-Q1,527.38,p,
ESTAT:NAMQ_10_A10_E(1.0),07/09/26 11:00:00,Quarterly,Thousand persons,Total - all NACE activities,Seasonally and calendar adjusted data,Total employment domestic concept,Luxembourg,2026-Q2,530.34,p,
