"Figure 1: Output per hour worked was 3.5% above its pre-coronavirus (COVID-19) pandemic level (2019 average level) in January to March 2026",""
"Output per hour, gross value added, hours worked, UK, Quarter 1 (Jan to Mar) 1997 to Quarter 1 2026 ",""
"",""
"Notes","1. The output per hour trendline was constructed using a linear regression of the period Quarter 1 2009 to Quarter 4 (Oct to Dec) 2019 after using the Cochrane-Orcutt (CO) estimation, as described in our [Productivity trends in the UK: July to September 2024 article](https://www.ons.gov.uk/economy/economicoutputandproductivity/productivitymeasures/articles/productivitytrendsintheuk/julytoseptember2024). These trendlines are for visualisation purposes only. Statistical inference should be treated with caution because the post-2019 points are an extrapolation. "
"Unit","Index Quarter 1 1997 = 100 "
"",""
"Date","Gross value added","Hours worked","Output per hour worked","Output per hour worked trend"
"Q1 1997","100.0","100.0","100.0",""
"Q2 1997","101.0","100.5","100.4",""
"Q3 1997","101.7","100.7","101.0",""
"Q4 1997","103.1","100.7","102.4",""
"Q1 1998","104.0","101.2","102.7",""
"Q2 1998","104.6","101.2","103.4",""
"Q3 1998","104.9","101.6","103.3",""
"Q4 1998","105.7","101.1","104.6",""
"Q1 1999","106.3","101.7","104.6",""
"Q2 1999","106.7","101.9","104.6",""
"Q3 1999","108.6","102.4","106.0",""
"Q4 1999","110.4","102.7","107.5",""
"Q1 2000","111.7","101.2","110.3",""
"Q2 2000","112.6","102.5","109.9",""
"Q3 2000","113.3","102.6","110.5",""
"Q4 2000","114.1","103.4","110.4",""
"Q1 2001","115.0","103.1","111.6",""
"Q2 2001","115.5","103.7","111.3",""
"Q3 2001","115.9","103.6","111.9",""
"Q4 2001","116.2","103.4","112.3",""
"Q1 2002","116.4","103.2","112.8",""
"Q2 2002","116.9","102.7","113.8",""
"Q3 2002","117.8","103.5","113.8",""
"Q4 2002","118.6","103.6","114.5",""
"Q1 2003","119.4","103.5","115.4",""
"Q2 2003","120.6","103.8","116.1",""
"Q3 2003","121.8","104.0","117.1",""
"Q4 2003","122.8","103.5","118.7",""
"Q1 2004","123.0","104.5","117.7",""
"Q2 2004","123.4","104.1","118.5",""
"Q3 2004","123.8","104.4","118.6",""
"Q4 2004","124.5","105.6","117.8",""
"Q1 2005","125.6","105.7","118.7",""
"Q2 2005","126.7","105.6","120.0",""
"Q3 2005","128.0","106.4","120.3",""
"Q4 2005","129.5","106.4","121.7",""
"Q1 2006","130.1","106.6","122.0",""
"Q2 2006","130.3","106.5","122.4",""
"Q3 2006","130.4","106.7","122.3",""
"Q4 2006","130.9","107.1","122.2",""
"Q1 2007","132.4","107.3","123.4",""
"Q2 2007","133.8","107.7","124.2",""
"Q3 2007","134.9","107.9","125.0",""
"Q4 2007","136.0","107.9","126.0",""
"Q1 2008","136.7","109.3","125.0",""
"Q2 2008","136.2","108.1","126.0",""
"Q3 2008","134.0","108.2","123.9",""
"Q4 2008","131.2","107.5","122.0",""
"Q1 2009","128.6","105.7","121.6",""
"Q2 2009","128.1","105.3","121.6","122.5"
"Q3 2009","128.2","104.8","122.4","122.7"
"Q4 2009","128.7","104.8","122.8","122.8"
"Q1 2010","129.9","104.7","124.1","123.0"
"Q2 2010","131.5","105.6","124.6","123.2"
"Q3 2010","132.3","106.1","124.7","123.4"
"Q4 2010","132.3","106.5","124.2","123.5"
"Q1 2011","132.4","106.6","124.2","123.7"
"Q2 2011","132.4","105.5","125.5","123.9"
"Q3 2011","132.8","106.1","125.2","124.1"
"Q4 2011","133.1","106.0","125.5","124.3"
"Q1 2012","134.3","107.1","125.5","124.4"
"Q2 2012","134.3","107.8","124.5","124.6"
"Q3 2012","135.7","108.9","124.5","124.8"
"Q4 2012","135.5","109.3","124.0","125.0"
"Q1 2013","135.8","109.4","124.1","125.1"
"Q2 2013","136.7","109.7","124.6","125.3"
"Q3 2013","137.6","111.1","123.9","125.5"
"Q4 2013","138.5","111.3","124.5","125.7"
"Q1 2014","139.7","112.3","124.4","125.9"
"Q2 2014","141.1","113.4","124.5","126.0"
"Q3 2014","142.4","113.7","125.2","126.2"
"Q4 2014","143.2","114.4","125.2","126.4"
"Q1 2015","143.4","114.7","125.0","126.6"
"Q2 2015","144.0","114.6","125.7","126.7"
"Q3 2015","144.4","114.6","126.0","126.9"
"Q4 2015","145.2","116.9","124.2","127.1"
"Q1 2016","146.1","116.3","125.7","127.3"
"Q2 2016","147.4","116.6","126.4","127.5"
"Q3 2016","148.1","116.9","126.8","127.6"
"Q4 2016","149.1","117.3","127.1","127.8"
"Q1 2017","150.6","118.1","127.6","128.0"
"Q2 2017","151.9","118.7","128.0","128.2"
"Q3 2017","152.9","117.5","130.1","128.3"
"Q4 2017","153.9","117.8","130.7","128.5"
"Q1 2018","154.0","118.3","130.1","128.7"
"Q2 2018","154.4","118.5","130.2","128.9"
"Q3 2018","154.9","119.6","129.5","129.1"
"Q4 2018","155.1","119.5","129.7","129.2"
"Q1 2019","155.8","121.2","128.6","129.4"
"Q2 2019","156.2","121.2","128.9","129.6"
"Q3 2019","157.3","120.6","130.4","129.8"
"Q4 2019","157.3","120.3","130.7","129.9"
"Q1 2020","153.4","117.8","130.3","130.1"
"Q2 2020","123.0","96.8","127.0","130.3"
"Q3 2020","144.0","104.4","137.9","130.5"
"Q4 2020","146.2","111.5","131.2","130.7"
"Q1 2021","144.7","109.0","132.7","130.8"
"Q2 2021","154.8","115.2","134.4","131.0"
"Q3 2021","157.2","118.3","132.8","131.2"
"Q4 2021","159.0","118.7","134.0","131.4"
"Q1 2022","160.5","119.3","134.5","131.5"
"Q2 2022","161.2","119.8","134.6","131.7"
"Q3 2022","161.3","119.8","134.7","131.9"
"Q4 2022","161.9","120.3","134.6","132.1"
"Q1 2023","162.0","121.0","133.9","132.3"
"Q2 2023","162.1","120.8","134.2","132.4"
"Q3 2023","161.9","120.1","134.8","132.6"
"Q4 2023","161.3","120.9","133.4","132.8"
"Q1 2024","162.5","122.1","133.2","133.0"
"Q2 2024","163.5","122.7","133.3","133.2"
"Q3 2024","163.9","124.1","132.0","133.3"
"Q4 2024","164.6","123.3","133.5","133.5"
"Q1 2025","165.5","123.9","133.7","133.7"
"Q2 2025","165.8","125.1","132.6","133.9"
"Q3 2025","166.0","124.3","133.6","134.0"
"Q4 2025","166.3","125.1","132.9","134.2"
"Q1 2026","167.3","124.7","134.2","134.4"
