"Figure 4: In January to March 2026, output per worker using RTI data was 4.2% above its 2019 (average) level and is growing faster than comparable LFS derived estimates.",""
"Output per worker using Labour Force Survey (LFS), output per worker using Real Time Information (RTI), UK, Quarter 3 (July to Sept) 2014 to Quarter 1 (Jan to Mar) 2026 ",""
"",""
"Notes","1. RTI worker estimates are supplemented by LFS self-employed data, minus working proprietors (for example, self-employed individuals who are sole directors of their own limited business). 
2. No adjustment is made for those that are employed but not part of Pay As You Earn (PAYE). 
3. Any individual who has a main job outside of the PAYE scheme and a second job on the PAYE scheme will be categorised as only having a main job. "
"Unit","Index Quarter 3 2014 = 100 "
"",""
"Period","LFS Output per worker","RTI + SE (exc working proprietors) Output per worker"
"Q3 2014","100.0","100.0"
"Q4 2014","100.2","100.3"
"Q1 2015","99.7","99.8"
"Q2 2015","100.3","99.7"
"Q3 2015","99.8","99.3"
"Q4 2015","99.7","99.3"
"Q1 2016","100.2","99.6"
"Q2 2016","100.5","100.0"
"Q3 2016","100.8","100.3"
"Q4 2016","101.4","100.7"
"Q1 2017","102.1","101.5"
"Q2 2017","102.6","102.1"
"Q3 2017","103.2","102.4"
"Q4 2017","103.7","102.8"
"Q1 2018","103.1","102.8"
"Q2 2018","103.2","102.7"
"Q3 2018","103.4","102.7"
"Q4 2018","103.0","102.3"
"Q1 2019","103.2","102.3"
"Q2 2019","102.9","102.4"
"Q3 2019","103.8","103.1"
"Q4 2019","103.3","102.9"
"Q1 2020","101.0","100.3"
"Q2 2020","81.8","82.5"
"Q3 2020","96.6","97.6"
"Q4 2020","98.4","99.8"
"Q1 2021","97.2","98.7"
"Q2 2021","103.5","104.4"
"Q3 2021","104.2","104.7"
"Q4 2021","105.4","105.4"
"Q1 2022","106.2","105.5"
"Q2 2022","106.0","105.5"
"Q3 2022","106.3","104.9"
"Q4 2022","106.1","104.8"
"Q1 2023","105.5","104.2"
"Q2 2023","105.5","104.1"
"Q3 2023","105.3","103.6"
"Q4 2023","104.9","102.9"
"Q1 2024","105.8","103.6"
"Q2 2024","106.0","104.0"
"Q3 2024","105.3","104.2"
"Q4 2024","105.5","104.5"
"Q1 2025","105.7","105.4"
"Q2 2025","105.2","105.9"
"Q3 2025","105.4","106.3"
"Q4 2025","105.4","106.6"
"Q1 2026","105.6","107.0"
