Indicator,Country,Quarter,QoQ,YoY,Pre_Covid
Labour productivity (per hour worked),Euro Area,2018Q1,,,-0.48
Labour productivity (per hour worked),Euro Area,2018Q2,-0.36,,-0.85
Labour productivity (per hour worked),Euro Area,2018Q3,-0.23,,-1.07
Labour productivity (per hour worked),Euro Area,2018Q4,0.35,,-0.73
Labour productivity (per hour worked),Euro Area,2019Q1,0.14,-0.1,-0.58
Labour productivity (per hour worked),Euro Area,2019Q2,0.69,0.95,0.1
Labour productivity (per hour worked),Euro Area,2019Q3,-0.09,1.09,0.01
Labour productivity (per hour worked),Euro Area,2019Q4,-0.01,0.73,0.0
Labour productivity (per hour worked),Euro Area,2020Q1,0.96,1.55,0.96
Labour productivity (per hour worked),Euro Area,2020Q2,2.61,3.49,3.6
Labour productivity (per hour worked),Euro Area,2020Q3,-2.1,1.42,1.43
Labour productivity (per hour worked),Euro Area,2020Q4,0.9,2.34,2.34
Labour productivity (per hour worked),Euro Area,2021Q1,0.69,2.07,3.05
Labour productivity (per hour worked),Euro Area,2021Q2,-0.98,-1.5,2.04
Labour productivity (per hour worked),Euro Area,2021Q3,0.36,0.97,2.41
Labour productivity (per hour worked),Euro Area,2021Q4,0.03,0.1,2.44
Labour productivity (per hour worked),Euro Area,2022Q1,-0.32,-0.91,2.11
Labour productivity (per hour worked),Euro Area,2022Q2,0.35,0.42,2.47
Labour productivity (per hour worked),Euro Area,2022Q3,0.04,0.1,2.51
Labour productivity (per hour worked),Euro Area,2022Q4,-0.37,-0.29,2.14
Labour productivity (per hour worked),Euro Area,2023Q1,-1.2,-1.18,0.91
Labour productivity (per hour worked),Euro Area,2023Q2,0.22,-1.31,1.13
Labour productivity (per hour worked),Euro Area,2023Q3,-0.43,-1.78,0.69
Labour productivity (per hour worked),Euro Area,2023Q4,0.03,-1.38,0.73
Labour productivity (per hour worked),Euro Area,2024Q1,-0.1,-0.28,0.62
Labour productivity (per hour worked),Euro Area,2024Q2,0.09,-0.41,0.72
Labour productivity (per hour worked),Euro Area,2024Q3,0.5,0.53,1.22
Labour productivity (per hour worked),Euro Area,2024Q4,-0.11,0.38,1.11
Labour productivity (per hour worked),Euro Area,2025Q1,0.68,1.16,1.79
Labour productivity (per hour worked),Euro Area,2025Q2,0.21,1.28,2.01
Labour productivity (per hour worked),Euro Area,2025Q3,-0.07,0.71,1.94
Labour productivity (per hour worked),Euro Area,2025Q4,-0.34,0.48,1.6
Labour productivity (per hour worked),Euro Area,2026Q1,0.02,-0.18,1.61
Labour productivity (per worker),Euro Area,2018Q1,,,-0.18
Labour productivity (per worker),Euro Area,2018Q2,0.03,,-0.15
Labour productivity (per worker),Euro Area,2018Q3,-0.17,,-0.32
Labour productivity (per worker),Euro Area,2018Q4,0.26,,-0.06
Labour productivity (per worker),Euro Area,2019Q1,0.25,0.36,0.18
Labour productivity (per worker),Euro Area,2019Q2,0.03,0.36,0.21
Labour productivity (per worker),Euro Area,2019Q3,0.06,0.6,0.28
Labour productivity (per worker),Euro Area,2019Q4,-0.27,0.06,0.0
Labour productivity (per worker),Euro Area,2020Q1,-3.0,-3.17,-3.0
Labour productivity (per worker),Euro Area,2020Q2,-8.49,-11.41,-11.23
Labour productivity (per worker),Euro Area,2020Q3,10.3,-2.35,-2.09
Labour productivity (per worker),Euro Area,2020Q4,-0.19,-2.27,-2.27
Labour productivity (per worker),Euro Area,2021Q1,0.89,1.65,-1.4
Labour productivity (per worker),Euro Area,2021Q2,1.29,12.5,-0.13
Labour productivity (per worker),Euro Area,2021Q3,0.61,2.62,0.48
Labour productivity (per worker),Euro Area,2021Q4,0.23,3.06,0.72
Labour productivity (per worker),Euro Area,2022Q1,0.25,2.4,0.97
Labour productivity (per worker),Euro Area,2022Q2,0.4,1.5,1.37
